Epoch,RMSE_train,RMSE_validation
0,5.657498881685177,7.334557916042228
1,5.906806708857553,3.843842212024062
2,4.757458763924098,4.889497281970489
3,4.681008890031487,3.837570768186327
4,4.461107932529372,3.3088927565815545
5,4.284891467973678,1.054068177228728
6,4.042370318940104,2.048868119748686
7,3.826013015712595,3.463795755722329
8,3.736637339167055,4.003939479733682
9,3.7040968728321113,3.8171049357723055
