Epoch,RMSE_train,RMSE_validation,MAE_train,MAE_validation
0,6.132580798342967,8.086293131043211,3.2433723682440374,5.567952638218517
1,6.372402418874747,3.8102749255467714,3.892131502956095,2.8599469838246443
2,5.294741593185113,5.083668962812952,3.3800643381202184,3.792260610714428
3,5.017403265867962,4.220939350330946,3.3606113612540494,2.582811440424429
4,4.7711592608133095,3.407326864404108,3.114737921990016,1.112142424408632
5,4.507085584920529,0.9267901472701475,2.7331234624672742,0.49831714468068133
6,4.188146014597742,2.192521951585343,2.40367844558888,1.071685148988791
7,3.9988516620700687,3.221044866550306,2.2571723284855953,2.0282930362200324
8,3.9343226099206743,5.187650214304436,2.2555479962329286,3.6450612559336237
9,3.9726525490077127,4.659882281128718,2.394911683878067,3.77179185448163
