Epoch,RMSE_train,RMSE_validation
0,4.121846104536105,5.4151257934151005
1,4.532376184955821,5.087578795911694
2,4.679383953281354,5.2273115517710504
3,4.790864837524429,5.4290549028744355
4,4.9039600794627685,5.191956023768767
5,4.949365219321483,5.6081806771276765
6,5.012751247815505,5.14953878627504
7,5.033877095586594,5.099444313094834
8,5.033520300243741,5.357042201799151
9,5.0656541018316394,5.074966896674394
