Epoch,RMSE_train,RMSE_validation,MAE_train,MAE_validation
0,0.11367901968529885,6.442048136669027,0.08076804715532139,4.489994302118698
1,0.15466913787027806,4.065894896485139,0.1164638014126668,3.085806778733696
2,0.22860923216741943,4.3526755421868035,0.1795519345451895,2.959585831150537
3,0.3682238681521695,1.890208895855193,0.28414347644836746,1.2385701534706492
4,0.43814265792366486,2.659570855266562,0.33836494484814356,1.3701657175828148
5,0.5133518168370921,2.3818539834567996,0.3819251464690803,0.8223433561298219
6,0.5767819272788315,2.1822186638173293,0.41458470116938617,1.0652833989776833
7,0.6429164699757551,3.3132202587789368,0.4508748722032895,1.9195124225500937
8,0.7783660050442652,3.7463660280796454,0.543753737222954,2.9091127891245514
9,0.870525913830436,4.544808496263843,0.6122238628974997,3.3649919573971188
